,precision,recall,f1-score,support
anthracnose,0.9903225806451613,0.9887278582930756,0.9895245769540693,621.0
healthy,0.9938144329896907,1.0,0.9968976215098242,482.0
leaf_miner,0.9942196531791907,0.9866156787762906,0.9904030710172744,523.0
red_rust,0.9948979591836735,0.9982935153583617,0.9965928449744463,586.0
accuracy,0.9932188065099458,0.9932188065099458,0.9932188065099458,0.9932188065099458
macro avg,0.9933136564994292,0.993409263106932,0.9933545286139036,2212.0
weighted avg,0.9932169810018199,0.9932188065099458,0.9932114055846618,2212.0
