backbone,step,accuracy,macro_f1,macro_auc
tf_efficientnetv2_s,baseline,98.75451988750503,0.9876126152292427,0.9973158797937539
tf_efficientnetv2_s,+ECA,98.59381277621534,0.9861166235849296,0.9973013329575529
tf_efficientnetv2_s,+ECA+Fusion,98.59381277621534,0.9860584487274591,0.9974073617854257
tf_efficientnetv2_s,+ECA+Fusion+Mixup,98.79469666532744,0.9880736878611032,0.9966073187321967
tf_efficientnetv2_s,+ECA+Fusion+Mixup+EMA,98.31257533145842,0.9830809143622252,0.9961190015379033
tf_efficientnetv2_s,Full (+FocalLoss+LS),98.15186822016875,0.9819557540696336,0.9967046188427914
convnext_tiny,baseline,98.15186822016875,0.9815812081709618,0.9957140966043243
convnext_tiny,+ECA,97.87063077541181,0.9786834144213914,0.9960967675977948
convnext_tiny,+ECA+Fusion,98.51345922057051,0.9851560261343417,0.9978622244840498
convnext_tiny,+ECA+Fusion+Mixup,98.63398955403777,0.9863959006244538,0.9939928788784002
convnext_tiny,+ECA+Fusion+Mixup+EMA,97.46886299718763,0.9745577717618247,0.9949149022229465
convnext_tiny,Full (+FocalLoss+LS),98.11169144234633,0.9810646365179089,0.9968014046789853
swin_tiny_patch4_window7_224,baseline,98.7143431096826,0.9872902774450296,0.9978046838243403
swin_tiny_patch4_window7_224,+ECA,98.7143431096826,0.9871753873553066,0.9976030439762504
swin_tiny_patch4_window7_224,+ECA+Fusion,98.31257533145842,0.9833245112681618,0.9974540749128373
swin_tiny_patch4_window7_224,+ECA+Fusion+Mixup,98.47328244274809,0.9850180916604416,0.9970048097298352
swin_tiny_patch4_window7_224,+ECA+Fusion+Mixup+EMA,98.87505022097228,0.9887766778992632,0.9960984479087959
swin_tiny_patch4_window7_224,Full (+FocalLoss+LS),97.70992366412213,0.9768610636210172,0.9967346324771176
