backbone,fold_used,accuracy_no_tta,accuracy_with_tta,tta_delta
tf_efficientnetv2_s,1,99.07300115874855,99.15025106218617,0.07724990343761817
convnext_tiny,2,98.79372738238843,98.43184559710495,-0.36188178528347237
swin_tiny_patch4_window7_224,4,98.27517047733653,98.43561973525873,0.16044925792219544
