backbone,epoch,train_loss,train_acc,val_acc,val_f1,val_auc,fold
tf_efficientnetv2_s,8,0.0857,94.64,98.37,0.9841,,3
tf_efficientnetv2_s,9,0.0882,94.96,98.61,0.9864,,3
tf_efficientnetv2_s,10,0.083,95.13,98.69,0.9872,,3
tf_efficientnetv2_s,11,0.083,95.2,99.04,0.9906,,3
tf_efficientnetv2_s,12,0.0807,95.22,99.0,0.9903,,3
tf_efficientnetv2_s,13,0.0801,95.64,98.73,0.9876,,3
tf_efficientnetv2_s,14,0.0771,95.54,99.0,0.9903,,3
tf_efficientnetv2_s,15,0.0736,96.26,98.93,0.9895,,3
tf_efficientnetv2_s,16,0.075,95.68,98.93,0.9895,,3
tf_efficientnetv2_s,17,0.072,96.01,99.04,0.9907,,3
tf_efficientnetv2_s,18,0.0694,96.42,99.0,0.9902,,3
tf_efficientnetv2_s,19,0.0726,96.2,98.89,0.9891,,3
tf_efficientnetv2_s,20,0.0656,96.51,98.81,0.9884,,3
tf_efficientnetv2_s,21,0.0672,96.11,98.77,0.9879,,3
tf_efficientnetv2_s,22,0.0685,96.5,98.81,0.9883,,3
tf_efficientnetv2_s,23,0.0675,96.33,98.85,0.9886,,3
tf_efficientnetv2_s,24,0.0669,96.59,98.81,0.9884,,3
tf_efficientnetv2_s,1,0.2254,83.57,69.51,0.6031,,4
tf_efficientnetv2_s,2,0.1457,90.27,96.79,0.9675,,4
tf_efficientnetv2_s,3,0.1292,91.88,97.75,0.9775,,4
tf_efficientnetv2_s,4,0.1168,92.39,98.19,0.9818,,4
tf_efficientnetv2_s,5,0.1081,93.07,98.4,0.9838,,4
tf_efficientnetv2_s,6,0.099,94.17,98.4,0.9838,,4
tf_efficientnetv2_s,7,0.0972,94.03,98.76,0.9875,,4
tf_efficientnetv2_s,8,0.0892,94.51,98.84,0.9883,,4
tf_efficientnetv2_s,9,0.0873,94.82,99.08,0.9907,,4
tf_efficientnetv2_s,10,0.0847,95.06,99.04,0.9903,,4
tf_efficientnetv2_s,11,0.0793,95.27,99.28,0.9928,,4
tf_efficientnetv2_s,12,0.0824,95.35,99.32,0.9932,,4
tf_efficientnetv2_s,13,0.0773,95.57,98.96,0.9895,,4
tf_efficientnetv2_s,14,0.0776,95.73,99.2,0.9919,,4
tf_efficientnetv2_s,15,0.0764,95.85,99.04,0.9903,,4
tf_efficientnetv2_s,16,0.0766,95.85,99.28,0.9927,,4
tf_efficientnetv2_s,17,0.0736,95.92,99.28,0.9927,,4
tf_efficientnetv2_s,18,0.074,95.99,99.48,0.9948,,4
tf_efficientnetv2_s,19,0.0714,96.19,99.4,0.994,,4
tf_efficientnetv2_s,20,0.0717,96.1,99.52,0.9952,,4
tf_efficientnetv2_s,21,0.0706,96.25,99.52,0.9952,,4
tf_efficientnetv2_s,22,0.0691,96.07,99.32,0.9932,,4
tf_efficientnetv2_s,23,0.07,96.37,99.48,0.9948,,4
tf_efficientnetv2_s,24,0.0662,96.51,99.4,0.9939,,4
tf_efficientnetv2_s,25,0.0657,96.67,99.32,0.9932,,4
tf_efficientnetv2_s,26,0.0649,96.82,99.44,0.9944,,4
tf_efficientnetv2_s,27,0.0665,96.62,99.48,0.9948,,4
convnext_tiny,1,0.224,84.17,60.67,0.5799,,0
convnext_tiny,2,0.1649,89.65,96.06,0.9603,,0
convnext_tiny,3,0.1495,90.33,96.75,0.9674,,0
convnext_tiny,4,0.1377,91.3,97.11,0.9709,,0
convnext_tiny,5,0.1324,92.17,97.23,0.9722,,0
convnext_tiny,6,0.1253,92.42,97.31,0.9728,,0
convnext_tiny,7,0.1199,92.73,97.71,0.9769,,0
convnext_tiny,8,0.1097,93.65,97.59,0.9758,,0
convnext_tiny,9,0.1063,93.86,98.03,0.9804,,0
convnext_tiny,10,0.0999,94.04,98.23,0.9823,,0
convnext_tiny,11,0.0971,94.64,98.07,0.9807,,0
convnext_tiny,12,0.0937,94.56,98.31,0.9832,,0
convnext_tiny,13,0.0903,94.73,98.23,0.9824,,0
convnext_tiny,14,0.0856,94.96,98.39,0.984,,0
convnext_tiny,15,0.0863,95.29,98.31,0.9832,,0
convnext_tiny,16,0.0814,95.23,98.47,0.9848,,0
convnext_tiny,17,0.0834,95.47,98.47,0.9848,,0
convnext_tiny,18,0.0752,96.27,98.19,0.982,,0
convnext_tiny,19,0.0813,95.49,98.31,0.9832,,0
convnext_tiny,20,0.0735,95.91,98.51,0.9852,,0
convnext_tiny,21,0.0713,96.47,98.47,0.9848,,0
convnext_tiny,22,0.0741,96.27,98.39,0.984,,0
convnext_tiny,23,0.07,96.54,98.47,0.9848,,0
convnext_tiny,24,0.0723,96.82,98.63,0.9864,,0
convnext_tiny,25,0.0682,96.8,98.55,0.9856,,0
convnext_tiny,26,0.0652,97.06,98.55,0.9856,,0
convnext_tiny,27,0.0671,96.99,98.59,0.986,,0
convnext_tiny,28,0.0675,96.85,98.47,0.9847,,0
convnext_tiny,29,0.0655,97.05,98.47,0.9847,,0
convnext_tiny,30,0.0655,97.2,98.59,0.986,,0
convnext_tiny,31,0.062,97.5,98.51,0.9851,,0
convnext_tiny,1,0.2388,83.62,70.41,0.6307,,1
convnext_tiny,2,0.1721,88.88,95.17,0.9498,,1
convnext_tiny,3,0.152,90.78,96.56,0.9644,,1
convnext_tiny,4,0.1337,91.79,97.14,0.9705,,1
convnext_tiny,5,0.1312,92.01,97.72,0.9766,,1
convnext_tiny,6,0.1199,92.88,97.68,0.9761,,1
convnext_tiny,7,0.1185,92.97,97.84,0.9779,,1
convnext_tiny,8,0.1098,93.62,98.15,0.981,,1
convnext_tiny,9,0.1072,93.61,98.3,0.9825,,1
convnext_tiny,10,0.1031,93.8,98.57,0.9854,,1
convnext_tiny,11,0.0975,93.77,98.65,0.9862,,1
convnext_tiny,12,0.0964,94.56,98.65,0.9862,,1
convnext_tiny,13,0.0915,94.94,98.69,0.9866,,1
convnext_tiny,14,0.0878,95.22,98.69,0.9866,,1
convnext_tiny,15,0.091,94.89,98.88,0.9886,,1
convnext_tiny,16,0.0842,95.29,98.8,0.9878,,1
convnext_tiny,17,0.0816,95.48,98.8,0.9878,,1
convnext_tiny,18,0.0786,95.53,98.76,0.9874,,1
convnext_tiny,19,0.0791,95.52,98.69,0.9865,,1
convnext_tiny,20,0.0766,95.97,98.53,0.9849,,1
convnext_tiny,21,0.0724,96.44,98.69,0.9866,,1
