path,class,method,iou_fixed_top20pct,iou_adaptive_otsu,pointing_game_hit,border_bias_fraction,predicted_correctly
cashew_leaf_dataset_raw/anthracnose/anthracnose1478__jpg.rf.5c704bdf6af6afe0ed56864073736173.jpg,anthracnose,gradcam++,0.04474250637755102,0.0,0,,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1478__jpg.rf.5c704bdf6af6afe0ed56864073736173.jpg,anthracnose,scorecam,0.04474250637755102,0.0,0,0.8012775778770447,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1478__jpg.rf.5c704bdf6af6afe0ed56864073736173.jpg,anthracnose,eigencam,0.13735296841715292,0.12551243509155507,0,0.06728661060333252,True
cashew_leaf_dataset_raw/anthracnose/anthracnose326__jpg.rf.8a5ff5a850b098bb9f79212e03b07b8d.jpg,anthracnose,gradcam++,0.0,0.0,0,0.6865202784538269,True
cashew_leaf_dataset_raw/anthracnose/anthracnose326__jpg.rf.8a5ff5a850b098bb9f79212e03b07b8d.jpg,anthracnose,scorecam,0.007783918424534911,0.01880212827149842,0,0.2598937749862671,True
cashew_leaf_dataset_raw/anthracnose/anthracnose326__jpg.rf.8a5ff5a850b098bb9f79212e03b07b8d.jpg,anthracnose,eigencam,0.0,0.0,0,0.40081119537353516,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1607__jpg.rf.92f905d3c7c9c33a8c920e293b6268f0.jpg,anthracnose,gradcam++,0.037190750821969494,0.0,0,0.8634729981422424,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1607__jpg.rf.92f905d3c7c9c33a8c920e293b6268f0.jpg,anthracnose,scorecam,0.0033893002398581707,0.01902505829662805,0,0.23676544427871704,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1607__jpg.rf.92f905d3c7c9c33a8c920e293b6268f0.jpg,anthracnose,eigencam,0.3154009159887894,0.33649121029434115,1,0.21757835149765015,True
cashew_leaf_dataset_raw/anthracnose/anthracnose58__jpg.rf.495eeb7a2d6e83265bb34a84a64c4aaa.jpg,anthracnose,gradcam++,0.09604193239795919,0.0,0,,True
cashew_leaf_dataset_raw/anthracnose/anthracnose58__jpg.rf.495eeb7a2d6e83265bb34a84a64c4aaa.jpg,anthracnose,scorecam,0.025757889648504936,0.022291380183831512,0,0.11481190472841263,True
cashew_leaf_dataset_raw/anthracnose/anthracnose58__jpg.rf.495eeb7a2d6e83265bb34a84a64c4aaa.jpg,anthracnose,eigencam,0.09068213525222116,0.1123477530449391,0,0.12016426771879196,True
cashew_leaf_dataset_raw/anthracnose/anthracnose503__jpg.rf.e592af797751fec604efaf3ae1f67616.jpg,anthracnose,gradcam++,0.038158567774936064,0.0070494599204093235,0,0.7871708869934082,True
cashew_leaf_dataset_raw/anthracnose/anthracnose503__jpg.rf.e592af797751fec604efaf3ae1f67616.jpg,anthracnose,scorecam,0.24699702006082763,0.5012299233106642,1,0.17353731393814087,True
cashew_leaf_dataset_raw/anthracnose/anthracnose503__jpg.rf.e592af797751fec604efaf3ae1f67616.jpg,anthracnose,eigencam,0.23926848629175063,0.5132850589966247,1,0.08765500783920288,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1046__jpg.rf.4452b0192ba0432a123bbd987e1bf7e1.jpg,anthracnose,gradcam++,0.19110730229591838,0.0,0,0.669921875,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1046__jpg.rf.4452b0192ba0432a123bbd987e1bf7e1.jpg,anthracnose,scorecam,0.005841959618735267,0.006000424808836024,0,0.45195791125297546,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1046__jpg.rf.4452b0192ba0432a123bbd987e1bf7e1.jpg,anthracnose,eigencam,0.14632864069162918,0.160252816147612,1,0.10909966379404068,True
cashew_leaf_dataset_raw/anthracnose/anthracnose761__jpg.rf.bed9e289514b9664e05d9476756e50d0.jpg,anthracnose,gradcam++,0.527961575255102,0.0,0,0.8910483121871948,True
cashew_leaf_dataset_raw/anthracnose/anthracnose761__jpg.rf.bed9e289514b9664e05d9476756e50d0.jpg,anthracnose,scorecam,0.1923353137037279,0.4773696198096128,0,0.5198671817779541,True
cashew_leaf_dataset_raw/anthracnose/anthracnose761__jpg.rf.bed9e289514b9664e05d9476756e50d0.jpg,anthracnose,eigencam,0.2538532834437541,0.4012180196981176,1,0.02036166563630104,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1109__jpg.rf.1fc2a14d7bb6156a1d0a1a13a8a270bc.jpg,anthracnose,gradcam++,0.18152104591836735,0.0,0,,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1109__jpg.rf.1fc2a14d7bb6156a1d0a1a13a8a270bc.jpg,anthracnose,scorecam,0.0021463721076327084,0.12380578824979688,0,0.348667711019516,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1109__jpg.rf.1fc2a14d7bb6156a1d0a1a13a8a270bc.jpg,anthracnose,eigencam,0.38346462383464625,0.3805436337625179,1,0.11174517124891281,True
cashew_leaf_dataset_raw/anthracnose/anthracnose204__jpg.rf.3c900a2ef5b7166a757d71f3550a721c.jpg,anthracnose,gradcam++,0.022563043798849727,0.0025512614570537655,0,0.06569429486989975,True
cashew_leaf_dataset_raw/anthracnose/anthracnose204__jpg.rf.3c900a2ef5b7166a757d71f3550a721c.jpg,anthracnose,scorecam,0.08794226092413901,0.0992904714229748,0,0.13808448612689972,True
cashew_leaf_dataset_raw/anthracnose/anthracnose204__jpg.rf.3c900a2ef5b7166a757d71f3550a721c.jpg,anthracnose,eigencam,0.031965506987808506,0.053904873752201994,0,0.49828433990478516,True
