,anthracnose,healthy,leaf_miner,red_rust
anthracnose,0.9887278582930756,0.004830917874396135,0.004830917874396135,0.001610305958132045
healthy,0.0,1.0,0.0,0.0
leaf_miner,0.009560229445506692,0.0,0.9866156787762906,0.0038240917782026767
red_rust,0.0017064846416382253,0.0,0.0,0.9982935153583617
