class,method,iou_fixed_mean,iou_fixed_std,iou_adaptive_mean,iou_adaptive_std,pointing_game_hit_rate,border_bias_mean,count
anthracnose,eigencam,0.15585999382885707,0.12339131884826582,0.1905122275552099,0.16010595162553526,0.36666666666666664,0.15345880299185713,30
anthracnose,gradcam++,0.11670701112794092,0.1262729122043317,0.022122029303510492,0.040780551344470096,0.06666666666666667,0.591970723710562,30
anthracnose,scorecam,0.07881883182900189,0.09161221743997722,0.10961983462560522,0.1387449841797737,0.16666666666666666,0.3639015277226766,30
leaf_miner,eigencam,0.22616788859843406,0.1475854345678442,0.23378891791009448,0.1475228037795327,0.54,0.17398503881879152,50
leaf_miner,gradcam++,0.05624545279501621,0.09607331012814412,0.015921419833387983,0.050399131523347906,0.04,0.6171998064155164,50
leaf_miner,scorecam,0.07432808369710456,0.10580660044626705,0.06622115762292725,0.07991427757749522,0.12,0.38975352376699446,50
red_rust,eigencam,0.159195097488985,0.10430973810339708,0.21720430409798558,0.15538678330699102,0.4,0.18519660281017422,30
red_rust,gradcam++,0.1881818190867028,0.18559747630767218,0.04500256968058347,0.07455883188464456,0.16666666666666666,0.5413779207608767,30
red_rust,scorecam,0.08467029133017463,0.09057973206273794,0.13878732835052443,0.18625668507140772,0.23333333333333334,0.4732154776652654,30
